userID,itemID,rating,category,userName
196,242,3,Fast Foods,Susan Morgan DDS
196,257,2,Fast Foods,Susan Morgan DDS
196,111,4,Breakfast Cereals,Susan Morgan DDS
196,25,4,Beans and Lentils,Susan Morgan DDS
196,382,4,Snacks,Susan Morgan DDS
196,202,3,Dairy and Egg Products,Susan Morgan DDS
196,153,5,Cookies,Susan Morgan DDS
196,286,5,Fish,Susan Morgan DDS
196,66,3,Beverages,Susan Morgan DDS
196,173,2,Cookies,Susan Morgan DDS
196,238,4,Fast Foods,Susan Morgan DDS
196,94,3,Beverages,Susan Morgan DDS
196,381,4,Snacks,Susan Morgan DDS
196,306,4,Fruits,Susan Morgan DDS
196,8,5,Baked Foods,Susan Morgan DDS
196,70,3,Beverages,Susan Morgan DDS
196,13,2,Baked Foods,Susan Morgan DDS
196,287,3,Fish,Susan Morgan DDS
196,269,3,Fish,Susan Morgan DDS
196,285,5,Fish,Susan Morgan DDS
196,110,1,Breakfast Cereals,Susan Morgan DDS
196,251,3,Fast Foods,Susan Morgan DDS
196,393,4,Sweets,Susan Morgan DDS
196,411,4,Sweets,Susan Morgan DDS
196,116,3,Breakfast Cereals,Susan Morgan DDS
196,340,3,Fruits,Susan Morgan DDS
196,67,5,Beverages,Susan Morgan DDS
196,108,4,Breakfast Cereals,Susan Morgan DDS
63,242,3,Fast Foods,Evelyn Griffin MD
63,302,3,Fruits,Evelyn Griffin MD
63,257,3,Fast Foods,Evelyn Griffin MD
63,222,3,Dairy and Egg Products ,Evelyn Griffin MD
63,1,3,Baked Foods,Evelyn Griffin MD
63,277,4,Fish,Evelyn Griffin MD
63,246,3,Fast Foods,Evelyn Griffin MD
63,100,5,Breakfast Cereals,Evelyn Griffin MD
63,322,2,Fruits,Evelyn Griffin MD
63,181,3,Dairy and Egg Products,Evelyn Griffin MD
63,20,3,Baked Foods,Evelyn Griffin MD
63,288,3,Fish,Evelyn Griffin MD
63,15,3,Baked Foods,Evelyn Griffin MD
63,237,3,Fast Foods,Evelyn Griffin MD
63,111,3,Breakfast Cereals,Evelyn Griffin MD
63,25,4,Beans and Lentils,Evelyn Griffin MD
63,294,2,Fish,Evelyn Griffin MD
63,328,2,Fruits,Evelyn Griffin MD
63,14,4,Baked Foods,Evelyn Griffin MD
63,405,4,Sweets,Evelyn Griffin MD
63,268,3,Fish,Evelyn Griffin MD
63,323,1,Fruits,Evelyn Griffin MD
63,137,4,Coffee,Evelyn Griffin MD
63,79,3,Beverages,Evelyn Griffin MD
63,258,3,Fast Foods,Evelyn Griffin MD
63,255,4,Fast Foods,Evelyn Griffin MD
63,408,4,Sweets,Evelyn Griffin MD
63,10,4,Baked Foods,Evelyn Griffin MD
63,106,2,Breakfast Cereals,Evelyn Griffin MD
63,109,4,Breakfast Cereals,Evelyn Griffin MD
63,3,2,Baked Foods,Evelyn Griffin MD
63,321,3,Fruits,Evelyn Griffin MD
63,333,4,Fruits,Evelyn Griffin MD
63,286,4,Fish,Evelyn Griffin MD
63,250,5,Fast Foods,Evelyn Griffin MD
63,325,2,Fruits,Evelyn Griffin MD
63,259,3,Fast Foods,Evelyn Griffin MD
63,50,4,Beans and Lentils,Evelyn Griffin MD
63,289,2,Fish,Evelyn Griffin MD
63,150,4,Cookies,Evelyn Griffin MD
63,306,3,Fruits,Evelyn Griffin MD
63,126,3,Coffee,Evelyn Griffin MD
63,121,1,Breakfast Cereals,Evelyn Griffin MD
63,301,5,Fruits,Evelyn Griffin MD
63,284,3,Fish,Evelyn Griffin MD
63,13,4,Baked Foods,Evelyn Griffin MD
63,225,2,Dairy and Egg Products ,Evelyn Griffin MD
63,287,3,Fish,Evelyn Griffin MD
63,269,3,Fish,Evelyn Griffin MD
63,285,3,Fish,Evelyn Griffin MD
63,412,3,Sweets,Evelyn Griffin MD
63,251,4,Fast Foods,Evelyn Griffin MD
63,283,4,Fish,Evelyn Griffin MD
63,282,1,Fish,Evelyn Griffin MD
63,300,4,Fruits,Evelyn Griffin MD
63,116,5,Breakfast Cereals,Evelyn Griffin MD
63,276,4,Fish,Evelyn Griffin MD
63,262,4,Fast Foods,Evelyn Griffin MD
63,108,2,Breakfast Cereals,Evelyn Griffin MD
63,224,4,Dairy and Egg Products ,Evelyn Griffin MD
63,6,3,Baked Foods,Evelyn Griffin MD
226,242,5,Fast Foods,Kaitlyn Mccarthy
226,98,5,Breakfast Cereals,Kaitlyn Mccarthy
226,25,4,Beans and Lentils,Kaitlyn Mccarthy
226,275,3,Fish,Kaitlyn Mccarthy
226,209,3,Dairy and Egg Products,Kaitlyn Mccarthy
226,23,3,Baked Foods,Kaitlyn Mccarthy
226,174,4,Cookies,Kaitlyn Mccarthy
226,14,5,Baked Foods,Kaitlyn Mccarthy
226,405,4,Sweets,Kaitlyn Mccarthy
226,258,5,Fast Foods,Kaitlyn Mccarthy
226,408,5,Sweets,Kaitlyn Mccarthy
226,69,4,Beverages,Kaitlyn Mccarthy
226,109,4,Breakfast Cereals,Kaitlyn Mccarthy
226,7,4,Baked Foods,Kaitlyn Mccarthy
226,56,4,Beans and Lentils,Kaitlyn Mccarthy
226,89,5,Beverages,Kaitlyn Mccarthy
226,191,4,Dairy and Egg Products,Kaitlyn Mccarthy
226,169,5,Cookies,Kaitlyn Mccarthy
226,286,4,Fish,Kaitlyn Mccarthy
226,12,5,Baked Foods,Kaitlyn Mccarthy
226,250,4,Fast Foods,Kaitlyn Mccarthy
226,176,4,Dairy and Egg Products,Kaitlyn Mccarthy
226,97,3,Breakfast Cereals,Kaitlyn Mccarthy
226,182,1,Dairy and Egg Products,Kaitlyn Mccarthy
226,150,4,Cookies,Kaitlyn Mccarthy
226,370,3,Snacks,Kaitlyn Mccarthy
226,147,3,Coffee,Kaitlyn Mccarthy
226,28,4,Beans and Lentils,Kaitlyn Mccarthy
226,179,4,Dairy and Egg Products,Kaitlyn Mccarthy
226,92,2,Beverages,Kaitlyn Mccarthy
226,9,5,Baked Foods,Kaitlyn Mccarthy
226,203,5,Dairy and Egg Products,Kaitlyn Mccarthy
226,180,4,Dairy and Egg Products,Kaitlyn Mccarthy
226,283,2,Fish,Kaitlyn Mccarthy
226,24,4,Beans and Lentils,Kaitlyn Mccarthy
226,270,4,Fish,Kaitlyn Mccarthy
226,224,4,Dairy and Egg Products ,Kaitlyn Mccarthy
226,236,3,Dairy and Egg Products ,Kaitlyn Mccarthy
154,242,3,Fast Foods,Shannon Baker
154,302,4,Fruits,Shannon Baker
154,222,2,Dairy and Egg Products ,Shannon Baker
154,143,3,Coffee,Shannon Baker
154,288,3,Fish,Shannon Baker
154,174,5,Cookies,Shannon Baker
154,200,5,Dairy and Egg Products,Shannon Baker
154,135,5,Coffee,Shannon Baker
154,137,3,Coffee,Shannon Baker
154,258,3,Fast Foods,Shannon Baker
154,172,4,Cookies,Shannon Baker
154,61,4,Beans and Lentils,Shannon Baker
154,202,3,Dairy and Egg Products,Shannon Baker
154,89,5,Beverages,Shannon Baker
154,357,4,Pizza,Shannon Baker
154,191,4,Dairy and Egg Products,Shannon Baker
154,197,5,Dairy and Egg Products,Shannon Baker
154,333,3,Fruits,Shannon Baker
154,175,5,Cookies,Shannon Baker
154,286,4,Fish,Shannon Baker
154,238,5,Fast Foods,Shannon Baker
154,211,4,Dairy and Egg Products,Shannon Baker
154,182,5,Dairy and Egg Products,Shannon Baker
154,50,5,Beans and Lentils,Shannon Baker
154,187,5,Dairy and Egg Products,Shannon Baker
154,289,2,Fish,Shannon Baker
154,185,5,Dairy and Egg Products,Shannon Baker
154,324,2,Fruits,Shannon Baker
154,152,4,Cookies,Shannon Baker
154,414,4,Sweets,Shannon Baker
306,242,5,Fast Foods,Matthew Petersen
306,257,4,Fast Foods,Matthew Petersen
306,100,4,Breakfast Cereals,Matthew Petersen
306,111,4,Breakfast Cereals,Matthew Petersen
306,25,3,Beans and Lentils,Matthew Petersen
306,275,4,Fish,Matthew Petersen
306,14,5,Baked Foods,Matthew Petersen
306,258,2,Fast Foods,Matthew Petersen
306,235,4,Dairy and Egg Products ,Matthew Petersen
